generation_biomass,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_poundage,generation_hydro_water reservoir,generation_marine,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,price_actual,total_renewable_energy
584,0,621,643,706,0,72,84,274,0,4416,59.26,7400
576,0,894,639,538,0,71,71,276,0,4605,56.06,7670
578,0,1088,638,639,0,72,67,275,0,4567,55.76,7924
574,0,1288,632,661,0,71,68,274,0,4429,54.43,7997
572,0,1199,628,580,0,71,67,276,0,4368,53.92,7761
568,0,1120,626,563,0,70,67,278,0,4484,53.7,7776
573,0,872,630,806,0,71,65,274,0,4409,53.43,7700
572,0,695,645,978,0,71,507,280,0,4207,57.25,7955
569,0,466,656,1693,0,72,1725,276,0,3836,60.31,9293
572,0,67,688,2037,0,72,3253,278,0,3387,70.33,10354
568,0,167,699,2103,0,71,4160,277,0,3225,73.71,11270
560,0,178,718,2186,0,72,4308,271,0,3076,74.7,11369
554,0,223,738,2419,0,70,4321,277,0,2688,75.86,11290
562,0,316,712,2130,0,71,4340,275,0,2334,73.58,10740
559,0,472,707,1600,0,71,4125,275,0,2117,70.51,9926
556,0,384,712,1068,0,72,3441,279,0,2092,67.64,8604
561,0,384,722,1536,0,72,1717,275,0,2254,64.51,7521
573,0,95,838,2997,0,72,600,280,0,2792,65.83,8247
567,0,1,862,3805,0,71,333,281,0,3342,67.46,9262
570,0,1,859,3742,0,70,167,281,0,3695,71.57,9385
569,0,1,833,3135,0,70,78,282,0,4026,74.22,8994
565,0,287,772,1454,0,70,75,279,0,4431,74.2,7933
556,0,731,687,1085,0,70,74,266,0,4897,70.79,8366
536,0,2144,549,408,0,69,12,232,0,6360,70.11,10310
529,0,2726,509,221,0,68,12,232,0,6566,60.6,10863
517,0,2993,507,241,0,67,12,222,0,6419,58.11,10978
501,0,3126,508,194,0,67,12,218,0,6370,57.39,10996
509,0,3067,502,170,0,67,12,219,0,6218,56.53,10764
517,0,3016,508,206,0,66,12,219,0,6326,55.74,10870
531,0,2742,509,327,0,67,12,225,0,6500,55.15,10913
541,0,1971,513,366,0,67,16,226,0,6656,53.99,10356
540,0,1499,526,381,0,67,32,225,0,6860,57.32,10130
545,0,1418,540,515,0,68,325,227,0,6853,57.64,10491
544,0,1070,555,565,0,68,832,228,0,6867,59.69,10729
545,0,786,553,703,0,71,1085,226,0,6966,64.86,10935
550,0,654,616,447,0,73,1144,227,0,7181,68.39,10892
557,0,789,549,446,0,70,1061,227,0,7064,73.16,10763
560,0,929,547,407,0,70,961,227,0,6655,72.74,10356
560,0,989,543,409,0,72,734,227,0,6305,64.84,9839
556,0,615,543,478,0,73,341,229,0,6071,61.53,8906
558,0,183,626,902,0,72,44,231,0,5782,59.99,8398
562,0,1,759,1931,0,77,20,236,0,5708,60.45,9294
557,0,1,786,2377,0,77,20,235,0,5710,60.28,9763
557,0,1,676,2156,0,78,19,237,0,5531,62.35,9255
557,0,91,673,1586,0,74,13,238,0,5513,72.97,8745
552,0,305,614,1238,0,72,13,238,0,5436,75.5,8468
555,0,763,580,627,0,73,13,236,0,5244,71.3,8091
525,0,61,600,1559,0,61,808,284,0,5327,70.11,9225
528,0,745,582,876,0,64,739,279,0,5150,58.64,8963
532,0,789,577,698,0,64,703,280,0,4647,57.27,8290
534,0,873,587,667,0,66,703,278,0,4338,56.81,8046
534,0,795,590,606,0,66,701,278,0,3973,56.24,7543
528,0,754,570,655,0,65,686,279,0,3508,56.82,7045
536,0,109,590,1344,0,63,502,275,0,3251,68.76,6670
540,0,0,598,1771,0,63,524,277,0,3017,69.15,6790
545,0,0,640,1934,0,66,1222,270,0,2573,77.72,7250
542,0,0,690,2609,0,63,3135,262,0,1958,78.33,9259
543,0,0,727,3086,0,63,4455,260,0,1480,81.08,10614
531,0,0,764,3693,0,65,4905,264,0,1168,87.28,11390
533,0,0,766,4062,0,63,5157,276,0,1237,87.98,12094
533,0,0,775,4245,0,64,5253,279,0,1411,87.65,12560
532,0,0,730,4353,0,67,5285,282,0,1696,86.67,12945
483,0,0,716,3932,0,67,5226,283,0,2107,83.43,12814
476,0,0,678,3793,0,69,5040,282,0,2598,84.82,12936
482,0,0,662,3154,0,71,4707,275,0,3217,84.61,12568
501,0,0,671,2687,0,71,4212,279,0,3834,84.19,12255
521,0,0,675,2301,0,69,3491,278,0,4425,78.77,11760
531,0,0,683,2049,0,70,2282,282,0,5055,76.95,10952
533,0,0,687,2324,0,69,1100,283,0,5210,78.64,10206
533,0,0,671,2144,0,68,741,284,0,5488,79.16,9929
533,0,0,636,1130,0,68,690,284,0,5581,73.22,8922
532,0,0,613,1404,0,66,685,280,0,5484,68.01,9064
534,0,298,581,1179,0,66,700,279,0,5284,60.45,8921
533,0,417,567,631,0,66,719,276,0,5145,55.15,8354
533,0,522,580,673,0,67,715,277,0,4783,54.36,8150
537,0,691,584,769,0,65,709,278,0,4741,55.08,8374
534,0,450,584,750,0,68,698,278,0,4696,53.85,8058
531,0,36,576,1164,0,66,530,277,0,4476,60.11,7656
530,0,0,595,2011,0,67,465,279,0,4060,58.41,8007
528,0,0,634,2349,0,66,1114,252,0,3501,74.81,8444
523,0,0,682,3006,0,68,2951,264,0,2829,76.37,10323
538,0,0,720,3569,0,68,4396,267,0,2029,79.11,11587
479,0,0,732,3994,0,68,4900,264,0,1704,86.38,12141
466,0,0,738,4473,0,68,5153,262,0,1627,86.59,12787
462,0,0,725,4994,0,67,5271,262,0,1699,86.91,13480
466,0,0,681,5061,0,69,5296,266,0,1973,84.84,13812
464,0,0,670,4660,0,73,5200,262,0,2446,81.45,13775
462,0,0,651,4452,0,69,5043,262,0,3074,81.88,14013
463,0,0,639,3739,0,69,4697,258,0,3738,81.81,13603
464,0,0,641,2542,0,69,4156,258,0,4480,80.7,12610
463,0,0,648,1902,0,70,3388,259,0,5027,75.43,11757
481,0,0,644,1617,0,70,2204,264,0,5453,74.79,10733
488,0,0,649,1680,0,70,1051,262,0,5649,75.95,9849
508,0,0,641,2008,0,71,743,262,0,5852,76.07,10085
523,0,0,618,1071,0,72,705,252,0,5785,69.78,9026
519,0,111,602,1290,0,70,701,257,0,5503,66.97,9053
520,0,390,580,973,0,70,699,259,0,5310,57.88,8801
518,0,500,571,567,0,68,691,263,0,5047,55.29,8225
518,0,777,584,760,0,68,689,263,0,4627,53.58,8286
524,0,878,585,800,0,68,681,262,0,4090,53.46,7888
522,0,547,570,664,0,68,680,259,0,3664,53.96,6974
517,0,105,589,922,0,70,515,250,0,3412,62.39,6380
522,0,0,597,1700,0,70,411,251,0,3123,67.02,6674
524,0,0,595,2554,0,70,1016,256,0,2514,76.48,7529
526,0,0,653,3437,0,68,2541,256,0,1909,78.22,9390
528,0,0,685,3869,0,68,4005,247,0,1621,80.55,11023
525,0,0,705,4135,0,72,4660,237,0,1635,86.77,11969
519,0,0,714,4372,0,72,4982,232,0,1883,86.91,12774
524,0,0,708,4517,0,74,5125,237,0,2185,86.92,13370
520,0,0,675,4204,0,78,5191,235,0,2540,84.26,13443
518,0,0,654,3484,0,77,5111,230,0,2932,81.58,13006
521,0,0,650,3631,0,75,4885,231,0,3290,80.96,13283
520,0,0,650,3202,0,75,4458,233,0,3623,81.28,12761
521,0,0,646,2805,0,75,3830,233,0,3897,81.66,12007
514,0,0,627,2752,0,74,2853,233,0,4151,77.33,11204
513,0,0,630,2891,0,73,1656,229,0,4284,76.58,10276
498,0,0,614,3165,0,74,834,230,0,4129,78.6,9544
503,0,0,617,3116,0,74,674,230,0,4011,78.53,9225
508,0,0,599,2419,0,75,674,231,0,3978,73.6,8484
499,0,1,579,1680,0,72,675,240,0,4005,70.08,7751
496,0,10,564,941,0,74,611,240,0,4087,65.44,7023
497,0,83,553,694,0,75,586,240,0,4203,57.93,6931
505,0,120,554,577,0,73,510,241,0,4306,58.96,6886
504,0,119,553,680,0,74,353,241,0,4385,55.82,6909
498,0,120,559,623,0,73,220,239,0,4009,56.29,6341
506,0,147,556,1046,0,74,132,243,0,3720,66.56,6424
521,0,132,560,1791,0,73,206,244,0,3276,70.77,6803
526,0,4,609,2115,0,74,771,241,0,2693,77.59,7033
525,0,0,665,2826,0,73,2020,245,0,2220,79.89,8574
528,0,0,691,2965,0,72,3677,247,0,2291,80.2,10471
534,0,0,716,3321,0,73,4440,253,0,2476,85.73,11813
529,0,0,741,3824,0,71,4755,250,0,2462,86.05,12632
528,0,3,725,3899,0,71,4990,251,0,2890,86.12,13357
533,0,0,685,3007,0,74,4915,247,0,3559,83.3,13020
524,0,0,656,1966,0,74,4674,249,0,4522,79.93,12665
525,0,0,675,2008,0,72,4017,258,0,5321,79.6,12876
528,0,0,668,2279,0,74,3574,263,0,5271,81.69,12657
526,0,0,671,1774,0,74,3026,262,0,5692,83.27,12025
531,0,0,665,2260,0,74,2358,254,0,4788,80.59,10930
537,0,0,673,2691,0,77,1353,251,0,3802,81.32,9384
533,0,0,673,2863,0,76,760,253,0,3300,82.46,8458
536,0,0,646,2509,0,74,664,264,0,3502,82.25,8195
515,0,0,611,1775,0,77,569,268,0,3684,77.33,7499
495,0,0,589,1805,0,70,390,255,0,4077,68.97,7681
497,0,0,565,1096,0,71,246,248,0,3938,57.63,6661
515,0,0,567,762,0,72,201,255,0,3562,56.52,5934
522,0,20,576,842,0,71,160,259,0,3127,56.5,5577
522,0,33,574,813,0,73,115,260,0,2967,56.37,5357
523,0,33,563,610,0,72,74,258,0,3280,58.98,5413
514,0,4,582,1049,0,72,44,256,0,3249,67.17,5770
533,0,0,595,1273,0,72,133,264,0,3149,68.04,6019
542,0,0,631,2048,0,72,553,267,0,2700,75.69,6813
546,0,0,688,3969,0,72,1161,265,0,2152,80.05,8853
542,0,0,724,4370,0,69,1831,256,0,2198,81.59,9990
536,0,0,739,4129,0,70,2658,252,0,2393,87.83,10777
534,0,0,757,4715,0,68,3086,255,0,2461,85.99,11876
532,0,0,724,4396,0,69,3422,250,0,2728,86.42,12121
529,0,0,695,3606,0,73,3424,261,0,3269,83.96,11857
526,0,0,665,3140,0,73,3280,260,0,3764,79.41,11708
535,0,0,659,3047,0,75,2815,257,0,3835,78.69,11223
536,0,0,647,3353,0,73,2252,262,0,3952,80.91,11075
532,0,1,651,2824,0,72,1902,264,0,4099,83,10345
528,0,0,649,2354,0,72,1535,256,0,4002,80.77,9396
525,0,0,654,2530,0,73,993,253,0,3162,80.94,8190
515,0,0,646,3027,0,72,407,261,0,2543,81.79,7471
509,0,0,633,2940,0,72,241,264,0,2590,81.73,7249
517,0,0,611,2179,0,69,144,257,0,2529,78.12,6306
519,0,0,580,2717,0,69,126,256,0,2608,76.21,6875
519,0,0,572,2384,0,67,107,260,0,2720,73.94,6629
523,0,67,572,1363,0,64,64,255,0,2673,69.04,5581
522,0,197,560,923,0,59,42,249,0,2746,67.58,5298
521,0,196,552,615,0,61,39,250,0,2962,63.42,5196
519,0,252,543,534,0,69,39,251,0,3062,60.48,5269
514,0,475,539,688,0,68,38,254,0,3540,59.71,6116
523,0,517,543,923,0,67,112,263,0,2954,58.75,5902
529,0,12,569,1669,0,69,576,265,0,2098,72.6,5787
532,0,0,592,2295,0,66,1663,264,0,1984,75.47,7396
536,0,0,617,2872,0,70,3360,249,0,2219,76.36,9923
544,0,0,633,2556,0,67,4272,248,0,2805,79.06,11125
547,0,0,654,2063,0,67,4683,259,0,3698,78.7,11971
540,0,166,635,1738,0,70,4957,258,0,4716,77.67,13080
546,0,143,603,1073,0,66,4967,258,0,5559,72.49,13215
546,0,603,567,696,0,61,4812,262,0,6339,60.74,13886
548,0,814,560,587,0,59,4513,260,0,7009,59.73,14350
554,0,1146,567,661,0,60,3965,251,0,7296,59.66,14500
551,0,1429,560,776,0,66,3488,258,0,7086,62.07,14214
547,0,1482,568,1065,0,67,2879,267,0,6577,70.75,13452
552,0,930,594,1710,0,67,1925,266,0,5656,76.26,11700
544,0,194,621,2178,0,67,955,248,0,4786,79.71,9593
548,0,0,638,2979,0,64,688,254,0,3645,81.12,8816
545,0,0,633,3234,0,63,662,257,0,2858,78.15,8252
546,0,0,584,2577,0,66,648,251,0,2452,76.37,7124
545,0,3,562,1260,0,68,651,263,0,2287,71.18,5639
552,0,466,549,740,0,68,602,265,0,2453,63.03,5695
554,0,1101,548,639,0,66,588,264,0,2610,59.37,6370
552,0,1587,535,619,0,68,587,261,0,2696,58.35,6905
553,0,1797,563,784,0,67,485,263,0,2539,56.6,7051
552,0,1797,554,746,0,67,302,259,0,2447,56.62,6724
562,0,1522,545,631,0,65,261,263,0,2502,54.96,6351
562,0,1273,563,873,0,66,788,260,0,2235,57.39,6620
562,0,692,579,976,0,68,2180,254,0,1923,58.45,7234
556,0,187,592,1042,0,66,3506,254,0,1757,61.14,7960
554,0,0,595,915,0,65,4291,257,0,1716,65.28,8393
544,0,74,617,1188,0,65,4659,253,0,1979,67.9,9379
540,0,153,622,1317,0,64,4776,252,0,2323,73.09,10047
526,0,0,596,1213,0,63,4759,261,0,2570,70.46,9988
529,0,340,566,953,0,63,4761,259,0,2800,62.07,10271
534,0,470,566,875,0,63,4574,260,0,2844,60.38,10186
514,0,557,559,803,0,59,4267,258,0,2925,60.61,9942
529,0,451,577,984,0,60,3826,264,0,2842,62.89,9533
533,0,383,592,1611,0,60,3224,262,0,2668,64.86,9333
542,0,50,613,2326,0,57,2148,264,0,2434,75.09,8434
529,0,0,629,3510,0,61,1010,264,0,2465,81.32,8468
531,0,0,632,4775,0,61,686,267,0,2656,82,9608
529,0,0,627,3451,0,59,659,264,0,2861,79.69,8450
533,0,15,586,1794,0,61,650,263,0,2822,72.66,6724
535,0,258,565,885,0,61,649,264,0,2570,62.49,5787
532,0,525,553,696,0,61,647,261,0,2374,58.66,5649
531,0,879,551,639,0,61,615,252,0,2237,55.84,5765
536,0,1104,567,686,0,60,591,250,0,2187,54.86,5981
534,0,918,554,1017,0,61,578,260,0,1858,56.22,5780
539,0,431,562,1190,0,60,508,261,0,1532,59.38,5083
547,0,27,580,1306,0,59,444,259,0,1235,67.71,4457
558,0,0,615,2317,0,57,1026,261,0,828,75.39,5662
559,0,0,641,2995,0,61,2858,260,0,499,80.9,7873
558,0,0,674,4221,0,62,4276,259,0,351,83.05,10401
552,0,0,694,4842,0,63,4812,258,0,260,88.45,11481
546,0,0,717,5322,0,64,5094,259,0,303,89.18,12305
548,0,0,717,5851,0,62,5211,256,0,459,89.11,13104
541,0,0,694,5371,0,65,5186,259,0,749,87.96,12865
542,0,0,684,4786,0,66,5001,260,0,1166,85.37,12505
545,0,0,682,4364,0,63,4675,260,0,1688,84.74,12277
548,0,0,676,3575,0,64,4297,255,0,2146,85.39,11561
544,0,0,662,2869,0,65,3794,257,0,2283,85.14,10474
548,0,0,664,2405,0,64,3133,259,0,2455,80.79,9528
543,0,0,645,2323,0,66,2120,259,0,2720,80.5,8676
537,0,0,649,2799,0,62,1041,264,0,2747,81.96,8099
538,0,0,643,3288,0,61,724,265,0,2816,81.84,8335
541,0,0,608,2301,0,64,690,268,0,2702,75.78,7174
527,0,0,595,2241,0,63,688,264,0,2699,72.49,7077
521,0,2,588,1398,0,65,687,259,0,2562,66.12,6082
520,0,67,575,632,0,67,684,259,0,2386,59.09,5190
521,0,191,576,612,0,67,665,257,0,2022,58.66,4911
520,0,247,574,645,0,66,648,261,0,1717,58.11,4678
520,0,197,582,766,0,64,610,251,0,1379,58.44,4369
521,0,1,582,1072,0,64,479,256,0,1154,67.64,4129
530,0,0,595,2226,0,67,345,258,0,1134,71.16,5155
539,0,0,615,3128,0,66,879,262,0,887,79.65,6376
538,0,0,690,4070,0,63,2704,259,0,600,81.28,8924
523,0,0,708,4238,0,67,4172,245,0,546,83.23,10499
517,0,0,724,4145,0,65,4737,243,0,705,88.95,11136
503,0,0,725,4492,0,64,5044,247,0,1128,89.12,12203
508,0,0,719,3896,0,66,5185,258,0,1829,89.03,12461
510,0,0,677,3152,0,68,5140,258,0,2511,87.51,12316
506,0,0,646,2791,0,75,4906,256,0,3138,84.81,12318
510,0,0,636,2562,0,73,4622,256,0,3798,83.52,12457
510,0,0,624,2154,0,72,4343,249,0,4685,84.23,12637
517,0,0,615,1759,0,75,3877,245,0,5628,81.84,12716
518,0,0,637,2053,0,73,3116,246,0,5012,79.32,11655
507,0,0,622,1623,0,75,2042,249,0,4975,78.49,10093
499,0,0,625,2249,0,75,977,258,0,4967,81.19,9650
498,0,0,641,2440,0,74,721,264,0,4745,81.98,9383
512,0,0,634,1740,0,75,698,265,0,4661,77.59,8585
530,0,0,621,1637,0,72,693,265,0,4321,71.4,8139
533,0,7,599,832,0,73,692,264,0,4185,67.22,7185
540,0,316,600,594,0,71,690,264,0,3617,58.94,6692
539,0,476,590,548,0,70,687,262,0,3102,57.59,6274
541,0,591,597,849,0,71,673,265,0,2416,56.85,6003
538,0,469,573,796,0,70,618,256,0,2145,57.34,5465
536,0,82,585,885,0,73,456,267,0,2382,61.86,5266
541,0,0,588,1552,0,71,352,264,0,2303,70.32,5671
546,0,0,627,2165,0,71,940,264,0,1809,79.29,6422
545,0,0,657,2805,0,71,2838,262,0,1409,80.74,8587
536,0,0,687,3138,0,72,4314,227,0,1253,83.55,10227
537,0,0,729,3754,0,71,4800,261,0,1284,88.69,11436
536,0,0,739,4168,0,66,5080,266,0,1552,89.16,12407
542,0,0,750,4286,0,67,5212,266,0,2009,89.04,13132
528,0,0,722,3659,0,74,5198,264,0,2670,88.48,13115
521,0,0,696,2903,0,74,4955,264,0,3428,85.2,12841
518,0,0,679,2307,0,70,4676,264,0,4204,85.02,12718
519,0,0,678,2070,0,72,4398,266,0,5277,84.01,13280
519,0,0,648,1660,0,74,3933,262,0,6001,82.39,13097
519,0,0,637,1378,0,73,3187,258,0,6460,78.32,12512
528,0,0,634,1476,0,75,2125,258,0,6374,77.14,11470
536,0,0,637,1669,0,76,1043,257,0,6411,79.12,10629
549,0,0,631,1684,0,77,754,256,0,6455,78.18,10406
550,0,0,616,843,0,75,725,254,0,6206,72.91,9269
547,0,1,607,1175,0,72,707,257,0,5674,67.5,9040
549,0,305,612,990,0,73,706,245,0,5009,58.36,8489
541,0,615,601,870,0,74,704,254,0,4557,56.53,8216
536,0,909,606,849,0,74,704,255,0,4036,56.63,7969
537,0,1005,600,783,0,75,700,254,0,3783,56.92,7737
540,0,871,591,808,0,75,689,249,0,3358,57.31,7181
544,0,65,591,1339,0,75,549,257,0,2700,67.81,6120
545,0,0,600,2384,0,75,436,252,0,2104,71.93,6396
553,0,0,640,2757,0,72,1034,265,0,1540,80.57,6861
548,0,0,686,2891,0,71,2902,261,0,1085,81.47,8444
551,0,0,708,3394,0,74,4294,262,0,903,83,10186
546,0,0,726,3991,0,75,4799,244,0,811,88.12,11192
538,0,0,749,4494,0,74,5116,243,0,757,88.44,11971
532,0,0,768,4665,0,73,5224,244,0,926,88.51,12432
549,0,0,733,4020,0,78,5213,240,0,1451,87.31,12284
548,0,0,719,3582,0,79,5048,253,0,1992,84.63,12221
548,0,0,712,3370,0,78,4806,246,0,2417,84.18,12177
548,0,0,714,3078,0,77,4424,240,0,2874,84.81,11955
551,0,0,655,2733,0,78,3850,247,0,2831,84.89,10945
554,0,0,633,2618,0,78,3114,244,0,2655,80.45,9896
548,0,0,622,2292,0,80,2142,247,0,2988,80.08,8919
549,0,0,633,2608,0,76,1063,256,0,3246,81.08,8431
548,0,0,624,2646,0,78,753,251,0,3514,81.54,8414
545,0,0,614,1740,0,75,713,245,0,3682,75.83,7614
542,0,0,595,2197,0,69,710,250,0,3677,71.84,8040
549,0,4,583,965,0,73,709,252,0,3922,59.04,7057
543,0,138,570,567,0,76,702,252,0,4385,56.59,7233
546,0,296,566,650,0,75,661,253,0,4583,55.3,7630
547,0,409,574,654,0,76,651,251,0,4495,54.26,7657
539,0,349,587,677,0,77,589,250,0,4206,54.99,7274
541,0,146,568,852,0,73,469,255,0,4236,57.62,7140
540,0,4,577,1184,0,73,393,257,0,4354,68.12,7382
548,0,0,618,1801,0,75,1026,259,0,3959,78.54,8286
544,0,0,678,2941,0,72,2870,256,0,3591,80.89,10952
548,0,0,701,3211,0,75,4297,254,0,3588,81.97,12674
546,0,0,709,3463,0,75,4851,260,0,3716,86.77,13620
548,0,0,712,3553,0,74,5094,243,0,4171,87.69,14395
537,0,0,713,3343,0,76,5209,238,0,4534,86.86,14650
536,0,0,672,2367,0,76,5246,246,0,4969,84.18,14112
537,0,0,654,1593,0,78,5210,246,0,5316,80.04,13634
532,0,0,639,910,0,77,4980,253,0,6077,78.59,13468
529,0,0,649,773,0,75,4610,247,0,6846,77.99,13729
532,0,11,604,684,0,75,4040,241,0,7572,75.76,13759
530,0,409,589,745,0,72,3143,241,0,8152,68.65,13881
534,0,481,597,802,0,73,1949,247,0,8605,68.83,13288
541,0,64,620,1081,0,74,931,264,0,8404,74.07,11979
545,0,69,592,834,0,71,717,266,0,8358,74.43,11452
547,0,547,579,783,0,73,694,260,0,8462,65.15,11945
536,0,414,555,766,0,71,690,255,0,8455,56.03,11742
526,0,641,553,697,0,69,690,250,0,8318,53.53,11744
531,0,1147,557,742,0,71,661,238,0,7844,52.4,11791
533,0,1475,556,752,0,72,647,255,0,7351,48.84,11641
543,0,2036,567,756,0,71,638,256,0,6974,47.95,11841
553,0,2207,549,576,0,71,623,258,0,6850,47.77,11687
550,0,2354,564,702,0,70,465,257,0,6760,48.89,11722
551,0,2249,560,821,0,70,484,243,0,6572,48.21,11550
555,0,1289,553,762,0,70,1032,244,0,6229,55.76,10734
555,0,934,578,828,0,66,2882,253,0,5897,57.6,11993
552,0,676,598,1147,0,68,4283,254,0,5571,59.92,13149
550,0,414,615,1460,0,68,4754,241,0,4916,70.59,13018
547,0,294,617,1630,0,68,5073,244,0,4472,73.78,12945
503,0,194,631,1984,0,67,5280,248,0,3895,74.49,12802
462,0,11,618,1791,0,66,5283,253,0,3631,70.17,12115
479,0,0,614,1464,0,67,5218,247,0,3578,63.65,11667
486,0,51,590,1218,0,67,5027,247,0,3815,62.43,11501
527,0,195,590,1217,0,69,4701,245,0,4031,62.5,11575
537,0,195,589,1288,0,70,4242,245,0,4187,63.18,11353
544,0,195,575,1125,0,67,3559,253,0,4262,65.05,10580
547,0,24,602,1756,0,68,2351,255,0,4035,72.15,9638
551,0,0,632,2493,0,66,1056,252,0,3670,75.73,8720
553,0,0,638,3145,0,69,757,242,0,3439,78.03,8843
549,0,0,626,2001,0,67,716,245,0,3062,73.14,7266
545,0,2,597,1102,0,70,710,252,0,2772,69.55,6050
549,0,92,561,1033,0,71,710,255,0,2569,59.71,5840
548,0,517,559,832,0,68,705,254,0,2325,55.87,5808
552,0,743,565,796,0,69,701,253,0,2072,55.58,5751
549,0,854,552,749,0,70,697,248,0,2210,55.74,5929
549,0,1037,563,734,0,69,682,250,0,2608,54.82,6492
543,0,1277,557,685,0,69,519,255,0,3015,54.63,6920
547,0,1569,547,581,0,68,409,254,0,3304,52.87,7279
543,0,1676,553,816,0,65,940,254,0,3236,56.06,8083
545,0,1501,568,781,0,69,2715,248,0,2838,56.84,9265
544,0,1254,584,980,0,67,4150,251,0,2541,57.62,10371
538,0,951,595,917,0,68,4717,252,0,2685,59.76,10723
537,0,815,615,850,0,67,5038,255,0,3232,60.26,11409
536,0,999,618,1032,0,64,5212,263,0,3985,60.12,12709
533,0,991,585,944,0,64,5258,258,0,4592,58.88,13225
536,0,806,577,793,0,65,5163,255,0,5036,55.7,13231
533,0,1074,571,817,0,63,4966,256,0,5447,54.06,13727
531,0,1130,578,909,0,64,4615,256,0,5698,53.62,13781
531,0,804,583,987,0,64,4090,257,0,5698,56.46,13014
534,0,743,589,1284,0,63,3347,249,0,5495,57.28,12304
535,0,503,605,1895,0,62,2139,253,0,5255,59.55,11247
542,0,211,635,2331,0,62,1045,257,0,4803,74.29,9886
541,0,0,640,3117,0,61,760,252,0,4606,78.42,9977
540,0,0,629,2195,0,63,727,258,0,4630,73.7,9042
538,0,219,551,1042,0,63,725,259,0,4854,57.19,8251
532,0,608,549,626,0,64,724,254,0,4782,54.63,8139
535,0,903,550,563,0,66,713,255,0,4758,53.18,8343
531,0,1036,537,466,0,62,714,256,0,4744,52.19,8346
533,0,1129,531,488,0,63,709,254,0,4818,50.59,8525
529,0,1152,536,490,0,60,701,252,0,4966,52.65,8686
534,0,462,534,641,0,62,570,253,0,4808,55.23,7864
538,0,24,539,903,0,64,382,251,0,4442,59.41,7143
543,0,0,593,1236,0,62,915,261,0,3736,76.75,7346
542,0,0,616,2428,0,64,2764,265,0,3039,80.18,9718
542,0,0,631,2786,0,62,4252,261,0,2589,81.89,11123
543,0,0,659,3283,0,61,4781,261,0,2428,88.43,12016
536,0,0,699,3406,0,59,5107,261,0,2644,88.99,12712
530,0,0,709,3549,0,58,5271,263,0,2851,88.62,13231
526,0,2,704,3542,0,60,5258,261,0,3073,86.07,13426
526,0,0,664,3161,0,63,5190,261,0,3325,84.32,13190
521,0,0,651,2659,0,66,5019,263,0,3618,83.8,12797
524,0,0,651,2593,0,67,4710,259,0,3921,84.35,12725
514,0,0,655,2324,0,69,4199,259,0,4253,84.23,12273
517,0,0,648,2135,0,67,3464,268,0,4676,80.78,11775
513,0,0,649,2137,0,67,2232,257,0,4900,80.45,10755
538,0,0,656,2408,0,67,1062,255,0,4769,81.68,9755
538,0,0,643,2447,0,68,759,266,0,4686,81.48,9407
532,0,0,617,1616,0,68,734,267,0,4394,75.57,8228
522,0,2,575,953,0,66,732,265,0,4104,68.58,7219
520,0,90,544,693,0,65,730,260,0,3773,60.09,6675
517,0,97,543,566,0,65,718,261,0,3429,56.63,6196
515,0,97,540,499,0,67,723,261,0,3069,55.79,5771
514,0,97,542,508,0,68,722,257,0,2822,55.33,5530
522,0,93,539,544,0,67,716,263,0,2714,56.26,5458
526,0,5,549,888,0,68,598,264,0,2622,65.43,5520
522,0,0,550,1218,0,67,405,259,0,2433,68.8,5454
466,0,0,591,1974,0,69,973,259,0,2167,78.33,6499
465,0,0,656,3120,0,66,2751,260,0,1919,80.9,9237
468,0,0,686,3738,0,66,4238,259,0,1738,83,11193
458,0,0,702,4164,0,62,4729,261,0,1714,88.79,12090
466,0,0,725,4664,0,59,4994,259,0,1725,89.14,12892
467,0,0,729,4718,0,61,5180,255,0,1981,88.67,13391
486,0,0,710,3806,0,60,5190,257,0,2528,86.06,13037
503,0,0,656,2824,0,63,5119,257,0,3300,82.88,12722
508,0,0,657,2431,0,62,4944,254,0,4020,82.24,12876
520,0,0,652,2200,0,61,4580,247,0,4502,82.04,12762
527,0,0,659,2183,0,65,4024,236,0,4705,81.08,12399
524,0,0,642,2261,0,68,3212,244,0,4866,76.82,11817
512,0,0,640,2361,0,65,1941,244,0,4807,76.94,10570
519,0,0,657,2881,0,68,969,245,0,4612,79.7,9951
519,0,0,660,3051,0,66,725,245,0,4527,79.49,9793
520,0,0,624,2087,0,63,705,244,0,4285,73.3,8528
516,0,0,566,1094,0,64,706,256,0,3957,70.57,7159
520,0,0,547,1849,0,64,703,258,0,3553,61.54,7494
518,0,0,540,894,0,64,697,262,0,3153,59.12,6128
520,0,0,547,868,0,64,694,266,0,2901,58.83,5860
519,0,0,539,912,0,61,677,266,0,2717,58.29,5691
519,0,0,545,921,0,61,616,264,0,2560,58.54,5486
503,0,0,550,1411,0,62,406,267,0,2331,65.91,5530
505,0,0,579,1598,0,64,277,266,0,1989,69.44,5278
498,0,0,631,2837,0,67,794,253,0,1579,78.25,6659
490,0,0,690,4249,0,65,2338,247,0,1266,80.15,9345
487,0,0,710,4675,0,65,3992,247,0,1214,81.36,11390
489,0,0,715,4531,0,66,4706,246,0,1280,87.61,12033
492,0,0,727,5157,0,64,5018,245,0,1458,88.13,13161
